Pessoa_ID,Tempo de Casa Categoria Python
771,1. Menos de 6 meses
772,3. 1 Ano
773,3. 1 Ano
774,1. Menos de 6 meses
775,3. 1 Ano
776,2. Mais de 6 meses
777,1. Menos de 6 meses
778,1. Menos de 6 meses
779,1. Menos de 6 meses
780,1. Menos de 6 meses
781,5. 3 Anos
782,3. 1 Ano
783,4. 2 Anos
784,4. 2 Anos
785,2. Mais de 6 meses
786,4. 2 Anos
787,4. 2 Anos
788,4. 2 Anos
789,4. 2 Anos
790,4. 2 Anos
791,2. Mais de 6 meses
792,5. 3 Anos
793,5. 3 Anos
794,2. Mais de 6 meses
795,2. Mais de 6 meses
796,3. 1 Ano
797,4. 2 Anos
798,5. 3 Anos
799,5. 3 Anos
800,5. 3 Anos
801,4. 2 Anos
802,3. 1 Ano
803,3. 1 Ano
804,2. Mais de 6 meses
805,7. 5 Anos ou Mais
806,2. Mais de 6 meses
807,3. 1 Ano
808,4. 2 Anos
809,5. 3 Anos
810,1. Menos de 6 meses
811,4. 2 Anos
812,2. Mais de 6 meses
813,1. Menos de 6 meses
814,5. 3 Anos
815,5. 3 Anos
816,4. 2 Anos
817,4. 2 Anos
818,4. 2 Anos
819,4. 2 Anos
820,4. 2 Anos
821,4. 2 Anos
822,1. Menos de 6 meses
823,3. 1 Ano
824,3. 1 Ano
825,4. 2 Anos
826,4. 2 Anos
827,1. Menos de 6 meses
828,1. Menos de 6 meses
829,2. Mais de 6 meses
830,4. 2 Anos
831,4. 2 Anos
832,6. 4 Anos
833,7. 5 Anos ou Mais
834,4. 2 Anos
835,4. 2 Anos
836,5. 3 Anos
837,5. 3 Anos
838,4. 2 Anos
593,5. 3 Anos
839,4. 2 Anos
840,6. 4 Anos
841,5. 3 Anos
842,4. 2 Anos
843,4. 2 Anos
844,2. Mais de 6 meses
845,4. 2 Anos
846,4. 2 Anos
847,1. Menos de 6 meses
848,7. 5 Anos ou Mais
849,1. Menos de 6 meses
850,4. 2 Anos
851,4. 2 Anos
852,4. 2 Anos
853,1. Menos de 6 meses
854,5. 3 Anos
855,3. 1 Ano
856,1. Menos de 6 meses
857,5. 3 Anos
858,4. 2 Anos
859,2. Mais de 6 meses
860,3. 1 Ano
861,4. 2 Anos
862,4. 2 Anos
863,3. 1 Ano
864,1. Menos de 6 meses
865,1. Menos de 6 meses
866,3. 1 Ano
867,5. 3 Anos
868,3. 1 Ano
869,2. Mais de 6 meses
870,4. 2 Anos
871,4. 2 Anos
872,4. 2 Anos
873,2. Mais de 6 meses
874,1. Menos de 6 meses
875,1. Menos de 6 meses
876,1. Menos de 6 meses
877,4. 2 Anos
878,4. 2 Anos
879,1. Menos de 6 meses
880,1. Menos de 6 meses
416,4. 2 Anos
881,2. Mais de 6 meses
882,4. 2 Anos
883,3. 1 Ano
884,1. Menos de 6 meses
885,3. 1 Ano
886,4. 2 Anos
887,3. 1 Ano
888,4. 2 Anos
889,4. 2 Anos
890,1. Menos de 6 meses
891,4. 2 Anos
892,1. Menos de 6 meses
893,3. 1 Ano
894,4. 2 Anos
895,4. 2 Anos
896,4. 2 Anos
897,4. 2 Anos
898,4. 2 Anos
899,1. Menos de 6 meses
900,3. 1 Ano
901,2. Mais de 6 meses
902,3. 1 Ano
903,1. Menos de 6 meses
904,4. 2 Anos
905,4. 2 Anos
906,4. 2 Anos
907,4. 2 Anos
908,1. Menos de 6 meses
909,2. Mais de 6 meses
910,3. 1 Ano
911,2. Mais de 6 meses
912,5. 3 Anos
913,1. Menos de 6 meses
914,1. Menos de 6 meses
915,4. 2 Anos
916,2. Mais de 6 meses
917,1. Menos de 6 meses
918,3. 1 Ano
919,1. Menos de 6 meses
920,2. Mais de 6 meses
921,1. Menos de 6 meses
922,2. Mais de 6 meses
923,1. Menos de 6 meses
924,1. Menos de 6 meses
925,2. Mais de 6 meses
926,1. Menos de 6 meses
927,2. Mais de 6 meses
928,2. Mais de 6 meses
929,1. Menos de 6 meses
930,6. 4 Anos
931,3. 1 Ano
932,4. 2 Anos
933,1. Menos de 6 meses
934,1. Menos de 6 meses
935,6. 4 Anos
936,5. 3 Anos
937,5. 3 Anos
938,3. 1 Ano
939,2. Mais de 6 meses
940,5. 3 Anos
941,5. 3 Anos
942,6. 4 Anos
943,3. 1 Ano
944,5. 3 Anos
945,3. 1 Ano
946,6. 4 Anos
947,4. 2 Anos
948,1. Menos de 6 meses
949,5. 3 Anos
950,2. Mais de 6 meses
951,1. Menos de 6 meses
952,5. 3 Anos
953,5. 3 Anos
954,1. Menos de 6 meses
955,3. 1 Ano
956,3. 1 Ano
957,5. 3 Anos
958,3. 1 Ano
959,5. 3 Anos
960,3. 1 Ano
961,5. 3 Anos
962,5. 3 Anos
963,1. Menos de 6 meses
964,3. 1 Ano
965,5. 3 Anos
966,5. 3 Anos
967,4. 2 Anos
968,2. Mais de 6 meses
969,3. 1 Ano
970,4. 2 Anos
971,2. Mais de 6 meses
972,5. 3 Anos
973,5. 3 Anos
974,3. 1 Ano
975,4. 2 Anos
976,5. 3 Anos
977,1. Menos de 6 meses
978,5. 3 Anos
979,4. 2 Anos
980,5. 3 Anos
981,3. 1 Ano
982,1. Menos de 6 meses
983,3. 1 Ano
984,3. 1 Ano
985,2. Mais de 6 meses
986,5. 3 Anos
987,5. 3 Anos
988,1. Menos de 6 meses
989,5. 3 Anos
990,5. 3 Anos
991,3. 1 Ano
992,4. 2 Anos
993,1. Menos de 6 meses
994,4. 2 Anos
995,4. 2 Anos
996,5. 3 Anos
997,4. 2 Anos
